PacketCounter,SampleTimeFine,_Quat_W,_Quat_X,_Quat_Y,_Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,
0,1145376398,0.151869416,0.470923632,-0.089844465,0.864346325,0,0,0,0,0,0,-1.223144531,-0.397460938,-0.514160156, 
1,1145384731,0.149667099,0.483340234,-0.091196015,0.857709229,9.867160797,0.459215522,4.445275307,17.20273972,-196.825058,4.880948067,-1.260253906,-0.421386719,-0.500488281, 
2,1145393064,0.147291332,0.495834827,-0.092416108,0.850830317,10.63300228,0.284727603,4.235543728,19.74798012,-199.1865997,5.458599091,-1.268066406,-0.451660156,-0.455078125, 
3,1145401397,0.144829243,0.508226156,-0.093326211,0.843813181,11.18065929,0.013372678,4.248822212,23.59409142,-198.5155334,4.206351757,-1.313476563,-0.478515625,-0.438476563, 
4,1145409730,0.142292783,0.520502448,-0.093795836,0.83667928,11.41012192,0.063742198,4.271653175,28.83732605,-197.1033173,1.910184264,-1.318359375,-0.51171875,-0.384277344, 
5,1145418063,0.13967818,0.532717347,-0.093982168,0.829378963,11.61919498,0.488988847,4.191120148,32.32948685,-197.244751,0.528990924,-1.361816406,-0.541503906,-0.359863281, 
6,1145426396,0.137084857,0.544772625,-0.094039336,0.821941078,12.11210442,0.891400397,4.017092705,33.14790726,-196.0452576,-0.716480732,-1.360839844,-0.575195313,-0.301757813, 
7,1145434729,0.134622455,0.556459725,-0.094042614,0.814484775,12.50277805,1.401648045,3.872179985,32.07323074,-191.8641205,-2.158430099,-1.400878906,-0.605957031,-0.270507813, 
8,1145443062,0.132458225,0.567734838,-0.094130792,0.807013869,12.29025745,1.855879903,3.827167511,28.04133415,-187.01828,-4.341211319,-1.390136719,-0.639160156,-0.200683594, 
9,1145451395,0.130682766,0.578793824,-0.094437763,0.799375594,12.19884396,1.956802487,3.71009922,21.98485184,-185.9346161,-6.975688457,-1.4296875,-0.670410156,-0.166015625, 
10,1145459728,0.129289061,0.589740813,-0.094948307,0.791501701,12.21590519,1.926101327,3.56429863,16.18445778,-186.3372498,-9.824463844,-1.413574219,-0.706054688,-0.094726563, 
11,1145468061,0.128262788,0.600642681,-0.095627502,0.78334707,12.48861885,1.6334759,3.487297058,10.93831348,-188.0556488,-12.90215492,-1.442871094,-0.73046875,-0.048828125, 
12,1145476394,0.127502233,0.611472428,-0.096359402,0.774957657,12.57440281,1.594469428,3.527501106,7.720489979,-188.8477936,-15.63755226,-1.411132813,-0.765625,0.025878906, 
13,1145484727,0.127000093,0.622337282,-0.097249299,0.766230881,12.51732159,1.790070891,3.718220711,3.497725964,-192.1069489,-17.71031761,-1.437988281,-0.791503906,0.078613281, 
14,1145493060,0.126801878,0.633272827,-0.098428823,0.757098734,13.20620918,1.916190147,3.844536781,-2.5887146,-196.3126373,-19.22652435,-1.390625,-0.819335938,0.156738281, 
15,1145501393,0.126984,0.643950343,-0.099819243,0.74782294,13.94546223,1.786959767,3.964857817,-8.727168083,-194.8384399,-21.26184273,-1.399414063,-0.840332031,0.208007813, 
16,1145509726,0.127642527,0.654258311,-0.10132882,0.738502502,14.13585567,1.562049508,4.324934006,-14.89972496,-190.8826599,-24.66170883,-1.330566406,-0.864746094,0.275878906, 
17,1145518059,0.128808305,0.664158285,-0.10297364,0.729176879,14.37387371,1.210751891,4.663085938,-21.53800201,-186.4206085,-28.05408478,-1.331054688,-0.882324219,0.327148438, 
18,1145526392,0.130374387,0.673606336,-0.104811437,0.7199108,14.65322685,0.971384525,5.097506523,-27.85202026,-181.021637,-29.53507996,-1.256835938,-0.901367188,0.384765625, 
19,1145534725,0.132448599,0.682503879,-0.106934637,0.710781813,14.94268703,0.366947532,5.564215183,-36.16790009,-174.1787262,-30.90558815,-1.251953125,-0.913574219,0.420410156, 
20,1145543058,0.13489598,0.690757334,-0.109257847,0.701940179,15.24705791,-0.673329592,6.02367115,-42.39121628,-164.9103241,-31.18015862,-1.169433594,-0.925292969,0.461914063, 
21,1145551391,0.13740404,0.698237836,-0.11172045,0.693615556,14.970438,-1.140872478,6.650800228,-44.95386124,-152.7933502,-28.34526062,-1.168945313,-0.931152344,0.484375, 
22,1145559724,0.139987379,0.705108464,-0.114426665,0.685661972,14.08165455,-1.362638354,7.341982365,-48.59772491,-143.6804962,-25.0619545,-1.090820313,-0.937988281,0.518066406, 
23,1145568057,0.142697126,0.711610436,-0.117319919,0.677852929,13.61152554,-1.647100091,7.775739193,-52.05528259,-139.0435486,-23.60649681,-1.08984375,-0.945800781,0.532714844, 
24,1145576390,0.145526037,0.717631042,-0.120316714,0.670337081,13.83122349,-1.647768617,8.258961678,-54.67351532,-131.6341248,-22.32920837,-1.016113281,-0.947265625,0.55078125, 
25,1145584723,0.148425117,0.722924769,-0.123391181,0.663418829,13.57396603,-1.899589062,8.991391182,-56.53089142,-119.1366043,-19.83369637,-1.0234375,-0.951660156,0.557617188, 
26,1145593056,0.151251286,0.727531135,-0.126404479,0.657148004,13.04116344,-2.263743877,9.754045486,-55.56254959,-106.3841858,-17.27054596,-0.955078125,-0.952636719,0.5703125, 
27,1145601389,0.153918341,0.731438041,-0.129158944,0.651632905,12.77317047,-2.211880922,10.47463894,-51.76316833,-92.28649902,-15.65398788,-0.970214844,-0.953613281,0.571777344, 
28,1145609722,0.156671375,0.734538257,-0.131519586,0.647000968,12.68318462,-2.516387701,10.9422617,-49.25295258,-75.16124725,-17.07040024,-0.909179688,-0.956542969,0.575195313, 
29,1145618055,0.159314528,0.73680383,-0.133241728,0.643417239,12.07590675,-3.225952625,11.1316185,-42.34780121,-55.99350739,-18.78605461,-0.931640625,-0.95703125,0.573730469, 
30,1145626388,0.161598966,0.738433361,-0.13432163,0.640749335,11.1734848,-3.864562988,10.93856049,-32.74000168,-40.33815384,-18.94119072,-0.884277344,-0.957519531,0.579101563, 
31,1145634721,0.163266703,0.739607811,-0.1348252,0.638863623,10.92034245,-4.54840374,10.10082722,-20.97299004,-28.24326706,-16.78677177,-0.908203125,-0.958496094,0.576171875, 
32,1145643054,0.163997203,0.74029696,-0.134780556,0.637886822,11.03074932,-4.311654091,8.985988617,-6.032154083,-15.26595783,-11.19442272,-0.85546875,-0.962402344,0.58203125, 
33,1145651387,0.164026409,0.740405083,-0.134306669,0.63785392,10.36467361,-3.815267324,7.704156399,5.3150177,-0.869270205,-6.202127934,-0.896484375,-0.962402344,0.579589844, 
34,1145659720,0.163498297,0.740187943,-0.133427382,0.638425529,9.331637383,-3.147189379,6.424384117,14.93531895,7.981360435,-3.488890409,-0.8515625,-0.960449219,0.581054688, 
35,1145668053,0.162536055,0.739881098,-0.132373348,0.639245808,9.008687973,-2.374563694,5.281056404,21.13619804,10.93929386,-0.720964193,-0.892578125,-0.958007813,0.579589844, 
36,1145676386,0.16126959,0.739435315,-0.131334573,0.640295982,9.090641022,-1.780778646,4.33421278,24.2165451,13.85394192,2.851263046,-0.854980469,-0.962890625,0.581054688, 
37,1145684719,0.159828991,0.738812685,-0.130306438,0.641584516,8.898609161,-1.415063858,3.698735476,25.92087173,17.55374527,5.366455555,-0.895507813,-0.960449219,0.583496094, 
38,1145693052,0.158201918,0.737869024,-0.12931408,0.64327234,11.78466797,-1.490834475,3.51561451,27.5216217,23.96241379,8.798743248,-0.857910156,-0.959960938,0.588378906, 
39,1145701385,0.156062603,0.7355299,-0.127546683,0.64681685,10.2534256,-2.211126804,3.846244335,39.82903671,55.98942947,12.01508713,-0.906738281,-0.958007813,0.585449219, 
40,1145709718,0.153774932,0.733013511,-0.125529468,0.650605142,7.509357929,-0.703297198,5.209692955,43.60382843,60.22974777,11.61026001,-0.879882813,-0.959960938,0.590332031, 
41,1145718051,0.151919901,0.730788946,-0.124061614,0.653816998,9.473327637,-0.571748734,6.496621132,33.94618607,51.47255707,11.58752251,-0.930175781,-0.959472656,0.583984375, 
42,1145726384,0.149080604,0.725307345,-0.121930778,0.660936415,18.70036316,-6.517985344,9.640063286,49.67989349,119.6445084,27.45713043,-0.901855469,-0.959960938,0.582519531, 
43,1145734717,0.141288161,0.715137124,-0.117563769,0.674385011,15.99384212,1.666651487,19.09624481,120.3948822,221.7643127,71.0489502,-0.975097656,-0.949707031,0.575683594, 
44,1145743050,0.136293083,0.705934167,-0.11644689,0.685216188,18.2834816,5.355735779,14.42723179,60.41514969,185.1502991,70.38225555,-0.981445313,-0.94140625,0.573730469, 
45,1145751383,0.134113938,0.699630678,-0.116715625,0.692031562,10.84419632,-0.499745637,-0.97224623,18.99437904,120.8575058,45.1642189,-1.060058594,-0.935058594,0.545410156, 
