PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z
0, 1145376398, 0.7046566605567932, -0.3054863512516022, -0.3984866142272949, -0.5013442039489746, 0, 0, 0, 0, 0, 0, -1.57958984375, 1.43115234375, -0.822265625
1, 1145384731, 0.7119799852371216, -0.29967817664146423, -0.38740476965904236, -0.503185510635376, 10.47868537902832, -2.158259391784668, 5.356593132019043, -0.020594578236341476, 195.47674560546875, 47.40532302856445, -1.564453125, 1.45361328125, -0.8662109375
2, 1145393064, 0.71944260597229, -0.2933815121650696, -0.37611478567123413, -0.5048447847366333, 10.651516914367676, -2.562967538833618, 5.383059501647949, 4.956757068634033, 200.3639678955078, 48.136470794677734, -1.48388671875, 1.48291015625, -0.888671875
3, 1145401397, 0.7268562912940979, -0.28683993220329285, -0.36476564407348633, -0.5063101053237915, 10.022276878356934, -2.346498727798462, 5.706486225128174, 7.685473918914795, 202.13763427734375, 48.956424713134766, -1.4658203125, 1.501953125, -0.93017578125
4, 1145409730, 0.7341574430465698, -0.28061482310295105, -0.35345152020454407, -0.5072877407073975, 9.881481170654297, -1.8080644607543945, 6.149731636047363, 6.871922492980957, 196.5770263671875, 54.22274398803711, -1.37890625, 1.52490234375, -0.94677734375
5, 1145418063, 0.7413643598556519, -0.27464258670806885, -0.34225720167160034, -0.5077513456344604, 10.353005409240723, -1.8468717336654663, 6.249880790710449, 7.185215473175049, 191.67965698242188, 59.796058654785156, -1.3515625, 1.54296875, -0.98291015625
6, 1145426396, 0.7485064268112183, -0.2684577703475952, -0.33096715807914734, -0.5080651640892029, 10.107234001159668, -1.8216054439544678, 6.068814754486084, 9.260711669921875, 192.75531005859375, 59.95758819580078, -1.2568359375, 1.5546875, -0.9912109375
7, 1145434729, 0.755294144153595, -0.2621649205684662, -0.31982818245887756, -0.5084398984909058, 8.867960929870605, -1.4383952617645264, 6.184204578399658, 9.7254638671875, 191.08250427246094, 56.07986831665039, -1.2265625, 1.56591796875, -1.01904296875
8, 1145443062, 0.7614970803260803, -0.25626832246780396, -0.30908718705177307, -0.508836567401886, 7.988855838775635, -1.0783030986785889, 7.0806884765625, 6.313401699066162, 181.1766357421875, 51.79541015625, -1.1357421875, 1.5732421875, -1.01953125
9, 1145451395, 0.7671066522598267, -0.2509615421295166, -0.2987465560436249, -0.5092318654060364, 8.787263870239258, -0.9816515445709229, 7.7754716873168945, 0.7276949882507324, 170.83453369140625, 49.030235290527344, -1.1064453125, 1.578125, -1.0380859375
10, 1145459728, 0.7723883986473083, -0.24586454033851624, -0.28816890716552734, -0.5098297595977783, 10.00383472442627, -1.2044237852096558, 8.339066505432129, -4.975702285766602, 170.71731567382812, 46.00600814819336, -1.01953125, 1.58349609375, -1.029296875
11, 1145468061, 0.7774147987365723, -0.24071650207042694, -0.2772062122821808, -0.5107244253158569, 10.421466827392578, -1.3566980361938477, 8.76910400390625, -9.304819107055664, 175.65817260742188, 42.4321403503418, -0.99267578125, 1.58203125, -1.0498046875
12, 1145476394, 0.7822469472885132, -0.23562249541282654, -0.26574504375457764, -0.5118127465248108, 10.271679878234863, -1.222334623336792, 8.955069541931152, -14.624220848083496, 180.01242065429688, 40.58888626098633, -0.90576171875, 1.5791015625, -1.02587890625
13, 1145484727, 0.7868058681488037, -0.23073479533195496, -0.2540946304798126, -0.5129668116569519, 10.510147094726562, -1.2704392671585083, 9.07459545135498, -19.442228317260742, 180.30743408203125, 39.59144592285156, -0.88818359375, 1.5791015625, -1.041015625
14, 1145493060, 0.7910983562469482, -0.22565291821956635, -0.2422378808259964, -0.5143595933914185, 11.057014465332031, -1.5335291624069214, 8.878114700317383, -20.323450088500977, 183.24913024902344, 34.84805679321289, -0.79833984375, 1.5712890625, -1.01220703125
15, 1145501393, 0.7950189709663391, -0.22028888761997223, -0.2300701141357422, -0.5162232518196106, 10.705726623535156, -0.9118131995201111, 8.660225868225098, -22.329322814941406, 189.3388671875, 27.376605987548828, -0.78564453125, 1.56298828125, -1.02099609375
