PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z
0,1145368065,0.44580099,0.262323856,-0.846765876,0.124234639,0,0,0,0,0,0,-1.065429688,0.333984375,0.191894531
1,1145376398,0.456459314,0.263542026,-0.840374053,0.126336008,7.644584656,-0.677956045,-6.570132732,3.859898806,168.2951965,-42.58679199,-1.055175781,0.33203125,0.153808594
2,1145384731,0.467187017,0.26490739,-0.83367759,0.128611967,8.115576744,-0.61212039,-6.665820122,7.050501347,171.7006378,-44.44948959,-1.072753906,0.326660156,0.140136719
3,1145393064,0.478011101,0.266385764,-0.826650262,0.131118059,8.388140678,-0.613291383,-6.509699345,10.67692566,175.2671204,-45.6127739,-1.061523438,0.322265625,0.095703125
4,1145401397,0.48887676,0.267893851,-0.819326699,0.133920848,8.517121315,-0.676605821,-6.33144474,14.59851742,179.0239716,-45.19143295,-1.075683594,0.320800781,0.083007813
5,1145409730,0.4997513,0.269499123,-0.811674714,0.137120292,8.626514435,-0.517073572,-6.158334255,20.32195854,182.3205566,-44.81858063,-1.063964844,0.315429688,0.036621094
6,1145418063,0.510585368,0.271281868,-0.803701758,0.140610665,8.713870049,-0.225186124,-6.105182171,25.51613235,185.1123047,-45.94198227,-1.075195313,0.311035156,0.013671875
7,1145426396,0.521384418,0.273196697,-0.795452416,0.144139156,8.865749359,0.067868538,-5.619006157,27.55613518,186.2683716,-48.0694809,-1.061035156,0.3046875,-0.029785156
8,1145434729,0.532150626,0.275168329,-0.786961973,0.147606716,8.908517838,0.59228909,-5.423859119,27.87136841,187.5808411,-49.99578476,-1.067871094,0.301757813,-0.048828125
9,1145443062,0.542921782,0.277006507,-0.778298497,0.150842875,9.031785965,0.953473806,-5.307200909,24.74983978,188.0221252,-50.88202286,-1.052246094,0.29296875,-0.094726563
10,1145451395,0.553710163,0.278461695,-0.769571185,0.153698429,9.179013252,1.196235418,-5.556685448,17.85640144,188.3027039,-49.93174362,-1.060058594,0.287109375,-0.108398438
