PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z
0,1210773782,0.657099664,-0.308672637,-0.342160255,-0.596547604,0,0,0,0,0,0,-1.321777344,1.498535156,-0.927246094
1,1210782115,0.668312013,-0.300768524,-0.3273727,-0.596427619,11.3598423,-1.767131686,7.553445816,-2.302978754,250.9039764,118.6725693,-1.254882813,1.516113281,-0.951660156
2,1210790448,0.679420292,-0.292893767,-0.312352151,-0.595851243,11.90511894,-1.212692857,8.296811104,-2.381619453,249.1355591,122.2901154,-1.159667969,1.524414063,-0.961914063
3,1210798781,0.690140128,-0.284900486,-0.297206193,-0.595153689,12.62356567,-0.72993952,8.724078178,-3.823287725,250.4346771,121.0544357,-1.086914063,1.538085938,-0.978515625
4,1210807114,0.700412929,-0.27662769,-0.28156364,-0.594661355,12.9130497,0.077617005,8.713436127,-7.330917358,255.1045074,115.4526138,-0.993652344,1.531738281,-0.973144531
5,1210815447,0.709897399,-0.268196225,-0.265936822,-0.594470859,12.63547134,0.601082623,8.652270317,-10.33629894,255.6538544,106.2220688,-0.925292969,1.53515625,-0.982910156
6,1210823780,0.718613148,-0.259689242,-0.250513434,-0.594475329,12.61014748,0.637107074,8.656488419,-10.97957516,250.9075165,96.24760437,-0.8359375,1.522460938,-0.966308594
7,1210832113,0.72643292,-0.251104265,-0.235455304,-0.594814181,12.86789131,1.536760807,8.413513184,-12.07894135,247.3276825,84.80516052,-0.776367188,1.518066406,-0.967773438
8,1210840446,0.73335284,-0.24271819,-0.2206579,-0.595476985,12.88329887,2.599272966,8.30122757,-15.57568169,240.0528412,73.2522583,-0.697753906,1.497070313,-0.943847656
9,1210848779,0.739382625,-0.234769553,-0.206633851,-0.596238613,12.97052479,2.642264605,8.289097786,-17.43893242,227.5451202,64.409729,-0.64453125,1.493652344,-0.928222656
10,1210857112,0.744674742,-0.227148965,-0.193239748,-0.597095191,13.20658588,2.340983152,8.368155479,-17.75982094,215.4773102,55.6638298,-0.580078125,1.471191406,-0.897460938
11,1210865445,0.74924475,-0.219811484,-0.180625901,-0.598072946,13.78432655,2.411607981,8.433940887,-17.33090973,204.8010101,47.43869019,-0.532226563,1.464355469,-0.874023438
12,1210873778,0.753263116,-0.212720662,-0.168447137,-0.599142253,14.62251186,2.675074339,8.232354164,-17.70808411,196.101532,40.69451523,-0.479492188,1.437988281,-0.83984375
13,1210882111,0.756709635,-0.205859244,-0.156758353,-0.600367069,15.0645256,2.427106142,7.672292709,-18.5608654,189.3598022,34.03353882,-0.448242188,1.432128906,-0.812988281
14,1210890444,0.75945878,-0.199427009,-0.145283833,-0.601951063,14.78585911,2.408743858,6.845299244,-23.55487251,182.1146698,24.36549568,-0.407226563,1.405273438,-0.7734375
15,1210898777,0.761262476,-0.193984494,-0.134282365,-0.604002416,15.17676544,3.120980024,5.424005032,-33.9534874,169.3587036,12.82460499,-0.390625,1.401855469,-0.739257813
16,1210907110,0.762197375,-0.18954733,-0.123710513,-0.60648489,16.08622932,3.14646697,3.259101868,-43.59834671,155.2134094,1.378448844,-0.359375,1.37890625,-0.701171875
17,1210915443,0.762243509,-0.185921639,-0.113639921,-0.60951221,15.97668743,2.543217897,1.302938819,-51.59181595,143.9416962,-11.24111557,-0.356933594,1.380371094,-0.662597656
18,1210923776,0.761515021,-0.183377534,-0.104452193,-0.612828434,15.59436512,2.263842821,0.011087298,-57.56402206,124.4878769,-21.69180679,-0.335449219,1.362304688,-0.625488281
19,1210932109,0.760203838,-0.182238668,-0.09647727,-0.616094768,16.01366615,2.767818689,-1.231677413,-63.85396576,99.64141846,-26.7583847,-0.345214844,1.369140625,-0.598144531
20,1210940442,0.75854677,-0.182376891,-0.089714125,-0.619110703,16.36670113,3.287320375,-3.023239613,-67.09623718,74.61709595,-28.71852112,-0.336914063,1.348632813,-0.560546875
21,1210948775,0.756729662,-0.183643878,-0.084489621,-0.621689558,15.98621082,3.113198757,-4.228313923,-66.00984192,48.11333466,-27.68230057,-0.346679688,1.354003906,-0.533203125
22,1210957108,0.754879832,-0.185811073,-0.08130382,-0.623715937,16.07785225,2.485560179,-4.583377838,-57.04644775,17.55205536,-26.57140923,-0.344726563,1.338867188,-0.515625
23,1210965441,0.753216147,-0.188157946,-0.080186434,-0.625166714,17.25269508,1.815270782,-4.677960873,-40.39329529,-6.506720543,-23.82866478,-0.359375,1.351074219,-0.5078125
24,1210973774,0.751853526,-0.189773545,-0.080416463,-0.626287997,17.54633522,1.132974267,-4.698180676,-19.77853584,-14.67960835,-22.31501579,-0.352539063,1.338867188,-0.502441406
25,1210982107,0.750711381,-0.19058302,-0.081596099,-0.627259135,15.6608181,0.553256929,-3.899651527,-2.838597298,-17.71894264,-22.03865623,-0.357421875,1.358886719,-0.513183594
26,1210990440,0.749777138,-0.191632986,-0.084130019,-0.627721846,13.73932648,0.143522561,-2.553868771,7.776401997,-34.60557175,-18.41986084,-0.350585938,1.358886719,-0.522460938
27,1210998773,0.749274433,-0.193177581,-0.088305138,-0.62727505,13.76698303,-0.486592472,-1.504591346,18.73342896,-57.96315002,-8.92728138,-0.354492188,1.3828125,-0.537597656
28,1211007106,0.749327123,-0.194576964,-0.093601167,-0.626010358,14.27010536,-0.810955346,-1.374265194,32.66162872,-69.28170013,1.023152947,-0.352539063,1.378417969,-0.556640625
29,1211015439,0.749836266,-0.195388541,-0.099610262,-0.624218047,13.83503246,-0.576192558,-0.629657984,46.4625473,-72.87055969,7.838226318,-0.35546875,1.3984375,-0.579101563
30,1211023772,0.75054431,-0.196364641,-0.10602051,-0.622000754,11.02363873,0.476474047,3.777665615,49.62895203,-78.62956238,12.96962547,-0.350585938,1.39453125,-0.603515625
31,1211032105,0.751249254,-0.198701352,-0.112530261,-0.619258165,1.688182592,1.225024223,15.24850464,36.89215088,-93.37759399,20.18595695,-0.359863281,1.416992188,-0.6328125
32,1211040438,0.748289883,-0.204199731,-0.121299505,-0.619396806,-10.83989048,-4.077895641,26.29533005,9.291984558,-140.6362457,-42.16598129,-0.359375,1.415527344,-0.657226563
33,1211048771,0.744991064,-0.207539842,-0.130911604,-0.620305419,-1.577799797,-9.857707024,20.86320305,36.15048599,-130.1352234,-58.84757996,-0.393554688,1.44140625,-0.685058594
34,1211057104,0.746523082,-0.207524508,-0.139444694,-0.616598248,9.709990501,-6.347830772,8.236562729,83.67927551,-94.31710815,26.57109833,-0.394042969,1.43359375,-0.709472656
35,1211065437,0.746641159,-0.205830395,-0.148532376,-0.614898682,10.5121212,2.441321611,0.702558041,97.47064972,-83.37652588,-10.7141037,-0.412597656,1.443847656,-0.743164063
36,1211073770,0.745881498,-0.209507942,-0.157957718,-0.612223625,13.18569946,7.014520645,3.096637011,44.99420166,-136.2510223,1.700034738,-0.419921875,1.440429688,-0.770996094
37,1211082103,0.747062683,-0.214258671,-0.166977867,-0.606720686,14.57703114,1.482799292,8.662220955,41.996315,-145.6303558,50.74254227,-0.432617188,1.461914063,-0.805664063
38,1211090436,0.747429729,-0.214937136,-0.174327329,-0.603955269,8.626993179,-4.55129528,12.29764557,61.46354675,-87.59924316,11.24436665,-0.437011719,1.455566406,-0.84375
39,1211098769,0.746938586,-0.212408379,-0.180697098,-0.603585184,2.517026186,0.506624341,11.69957924,77.75654602,-46.56345749,-25.14259148,-0.462402344,1.470214844,-0.875976563
40,1211107102,0.746312618,-0.211999118,-0.18723233,-0.60251075,2.295274734,6.535552025,9.133042336,58.96407318,-67.49460602,-14.41530895,-0.470214844,1.462890625,-0.884765625
41,1211115435,0.745502174,-0.213947237,-0.194092318,-0.60065186,6.81471014,5.449623108,9.019067764,38.69412231,-93.87510681,-2.599048853,-0.502441406,1.470703125,-0.906738281
42,1211123768,0.745266497,-0.215465486,-0.199437231,-0.598647177,11.74911404,0.455611378,10.27692699,32.86254883,-72.99272156,6.815052032,-0.513671875,1.4609375,-0.915527344
43,1211132101,0.745883763,-0.214448109,-0.201709643,-0.597481132,11.45510864,-4.012289047,10.09129524,33.58727646,-16.49778938,7.532066345,-0.541992188,1.474609375,-0.937011719
44,1211140434,0.746530116,-0.21133475,-0.202234641,-0.597605944,6.287570477,-4.399445534,8.133814812,37.3821106,23.25537109,-6.240458488,-0.545898438,1.467773438,-0.950195313
45,1211148767,0.746914804,-0.208445102,-0.203497142,-0.597711563,3.430366039,-1.234745026,7.956661701,40.29058456,12.34004974,-9.605995178,-0.565429688,1.485839844,-0.974609375
46,1211157100,0.747249424,-0.206854269,-0.204987049,-0.597336709,5.320852757,0.959273219,8.618884087,30.20831108,-1.439188242,-2.2422719,-0.568847656,1.483398438,-0.984863281
47,1211165433,0.747500122,-0.205600619,-0.205743238,-0.597196043,7.402812958,-0.371272296,9.009196281,19.6294117,3.011121035,-2.158128262,-0.5859375,1.498046875,-1.007324219
48,1211173766,0.747719109,-0.203887999,-0.205683067,-0.597529531,7.032814026,-2.177395105,7.993251801,16.3885479,17.1510582,-6.423361778,-0.591308594,1.493652344,-1.006347656
49,1211182099,0.747795463,-0.202058762,-0.2055213,-0.598110855,5.724348545,-0.837065876,7.681751728,15.47547722,18.71672821,-10.04800797,-0.612304688,1.507324219,-1.02734375
50,1211190432,0.74790585,-0.200720966,-0.205476448,-0.598438263,5.551501751,0.912178576,7.950264931,12.37689114,13.60655499,-6.24019289,-0.617675781,1.504394531,-1.02734375
51,1211198765,0.747986615,-0.199740171,-0.205202594,-0.598759532,4.594959259,0.910217345,7.528800488,6.575263977,12.17968369,-4.633077145,-0.641113281,1.518554688,-1.047851563
52,1211207098,0.747994423,-0.199425459,-0.205061451,-0.598902941,4.783442974,0.67562288,7.503883839,1.290816426,5.379411697,-2.034359217,-0.642578125,1.520507813,-1.041503906
53,1211215431,0.747976422,-0.199400574,-0.204843894,-0.599008203,6.160059452,0.568802655,8.06119442,-2.455943584,2.857100725,-0.682772934,-0.661621094,1.531738281,-1.0546875
54,1211223764,0.747931242,-0.199426487,-0.204439566,-0.599194229,6.569741249,0.038589139,8.57627964,-4.657897472,5.239097595,-1.208095551,-0.668457031,1.531738281,-1.047851563
55,1211232097,0.747980952,-0.199243486,-0.203852981,-0.599392891,4.960655212,-0.518563807,8.746248245,-3.947103262,8.402866364,-0.517253995,-0.686035156,1.546875,-1.05859375
56,1211240430,0.747899234,-0.199585527,-0.203604355,-0.599465549,5.217404842,0.048660781,8.640072823,-6.417492867,0.625614882,0.125625029,-0.689453125,1.546875,-1.048339844
57,1211248763,0.747951746,-0.20001933,-0.20326905,-0.599369228,6.147913456,-0.53867656,8.462280273,-7.385710716,-0.068697378,3.581497669,-0.711425781,1.558105469,-1.057617188
58,1211257096,0.747860074,-0.200326771,-0.202914953,-0.599500835,4.96145153,-0.566108584,8.017889023,-7.129209995,2.120359182,-0.369715869,-0.715332031,1.55859375,-1.052246094
59,1211265429,0.747697234,-0.201065466,-0.202629387,-0.599553347,5.335333824,-0.384931803,8.23391819,-11.12006283,-3.287254572,0.986852527,-0.737792969,1.569824219,-1.05859375
60,1211273762,0.7475124,-0.201837018,-0.202276811,-0.599643648,4.870575905,-0.815222025,7.719414234,-12.03082657,-2.097959518,0.586476326,-0.741699219,1.568359375,-1.052246094
61,1211282095,0.747341394,-0.202662051,-0.202031642,-0.599661171,4.868482113,-1.559178591,7.910318375,-11.59968948,-4.533336163,1.407182217,-0.765625,1.58203125,-1.055175781
62,1211290428,0.747147799,-0.203347281,-0.201919675,-0.599707901,4.639641285,-1.731829524,7.722046852,-9.064494133,-4.009678364,0.05564693,-0.767578125,1.580566406,-1.053710938
63,1211298761,0.746893883,-0.204030812,-0.202037454,-0.599752605,5.778883934,-1.638021946,7.637273788,-7.459941864,-7.251058578,-0.962992966,-0.796875,1.590820313,-1.063476563
64,1211307094,0.746751666,-0.204344317,-0.201958254,-0.599849522,6.097949028,-1.746193886,8.464232445,-4.961912632,-1.005589247,-1.171236515,-0.796875,1.588378906,-1.058105469
65,1211315427,0.746507764,-0.20440428,-0.201881766,-0.600158572,4.102803707,-1.443417311,8.267195702,-3.364839315,0.657760739,-4.783535004,-0.827148438,1.592773438,-1.064453125
