PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z
0,1210782115,0.113086097,0.546615958,-0.060114589,0.827531934,0,0,0,0,0,0,-1.336425781,-0.628417969,-0.241699219
1,1210790448,0.109905519,0.562887847,-0.056459308,0.817245901,13.71164703,1.418562531,3.02377224,83.52278137,-259.6264954,-21.62450409,-1.3359375,-0.66796875,-0.168457031
2,1210798781,0.106850319,0.579008043,-0.052908354,0.806556761,14.2324295,2.209442854,3.405771971,80.90224457,-261.636261,-22.67302513,-1.350097656,-0.709472656,-0.086914063
3,1210807114,0.104221709,0.594943345,-0.049695399,0.795431376,14.87826443,2.446848631,3.803740501,73.09585571,-262.7127075,-25.26237679,-1.331542969,-0.744140625,-0.00390625
4,1210815447,0.102089658,0.610528827,-0.046897717,0.783985615,15.49313927,1.932438135,4.244639397,63.83977127,-262.2960815,-27.47338295,-1.330566406,-0.77734375,0.083496094
5,1210823780,0.100199014,0.625707865,-0.044517122,0.772313595,16.24236679,1.683171511,4.864110947,56.50359726,-259.7200012,-26.66891479,-1.290527344,-0.8046875,0.165527344
6,1210832113,0.09873908,0.640266061,-0.042776801,0.76057899,16.60723495,1.239597559,5.450729847,45.20066071,-254.8035736,-25.40143394,-1.26953125,-0.830566406,0.248535156
7,1210840446,0.097806774,0.654235184,-0.041514032,0.748790562,17.13025475,0.241555989,5.947503567,34.63699341,-248.9573975,-26.4712677,-1.214355469,-0.850097656,0.31640625
8,1210848779,0.097200677,0.667495966,-0.040638417,0.737123013,17.9947834,-0.460223228,6.392359257,26.92137718,-241.4045715,-25.75024414,-1.1875,-0.86328125,0.38671875
9,1210857112,0.096675985,0.679911077,-0.04021237,0.725780964,18.35508919,-1.130009651,6.892658234,20.58753014,-229.9394989,-21.57022667,-1.127929688,-0.868652344,0.439941406
10,1210865445,0.096141301,0.691517889,-0.040159915,0.714805841,18.16753006,-1.419104457,7.520303726,16.16182518,-219.4032593,-17.01219177,-1.09765625,-0.877929688,0.495605469
11,1210873778,0.095601313,0.702463329,-0.040392514,0.70411247,18.06260109,-1.260408759,8.216314316,12.61308479,-210.187851,-13.54907799,-1.043457031,-0.875976563,0.540527344
12,1210882111,0.095102392,0.712677538,-0.040902194,0.69381094,18.11124229,-0.221090376,8.989143372,8.867948532,-200.0755768,-10.31206608,-1.016113281,-0.875488281,0.589355469
13,1210890444,0.095014989,0.722022057,-0.041854903,0.684035778,17.4340477,1.285072684,10.45843124,-0.309275746,-186.6151581,-8.766356468,-0.965820313,-0.864257813,0.616210938
14,1210898777,0.0958606,0.730545878,-0.043243043,0.674717784,16.29879951,1.888918281,11.94101334,-14.4040184,-174.7378998,-12.1021843,-0.940917969,-0.865722656,0.653808594
15,1210907110,0.097757421,0.738232195,-0.045060128,0.665902913,15.58836746,2.1472435,13.27316952,-29.79109383,-161.5793457,-16.44158363,-0.891113281,-0.854003906,0.668945313
