PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z
0,1210773782,0.504443705,0.278411865,-0.803207994,0.151263729,0,0,0,0,0,0,-0.985839844,0.360839844,0.009277344
1,1210782115,0.518359303,0.279839337,-0.792743325,0.156690449,8.655612946,-0.113316789,-6.500171661,37.74758148,243.9249573,-47.18151093,-0.995605469,0.363769531,-0.026855469
2,1210790448,0.532130361,0.281589419,-0.7817083,0.162718534,9.15715313,-0.24875237,-6.628217697,48.41547775,247.6658936,-48.26881409,-0.975585938,0.356445313,-0.071289063
3,1210798781,0.545658648,0.283757538,-0.770090997,0.169406965,9.565654755,-0.495011985,-6.841946125,60.79078674,251.3071136,-49.66936874,-0.983398438,0.35546875,-0.107910156
4,1210807114,0.558962703,0.286389172,-0.757832348,0.176726684,9.788088799,-0.084654361,-6.664453506,73.35028839,254.7788696,-51.78898621,-0.951171875,0.340820313,-0.149414063
5,1210815447,0.572061002,0.289296001,-0.745054007,0.184252143,9.78614521,0.713827968,-6.38973856,79.65671539,257.1236572,-54.65592957,-0.955566406,0.340820313,-0.185058594
6,1210823780,0.584887147,0.292108804,-0.732036889,0.191577062,9.818284035,1.323498011,-6.052116394,78.57878876,255.3239288,-55.49360275,-0.926757813,0.327148438,-0.227539063
7,1210832113,0.597359061,0.294683486,-0.718942761,0.198608592,10.00906467,1.79919982,-5.986093044,75.30647278,252.1547089,-54.86707687,-0.932128906,0.320800781,-0.267578125
8,1210840446,0.609565556,0.296880573,-0.705872416,0.205027804,10.28526402,2.254875183,-5.821724415,67.19016266,247.5813599,-55.29634094,-0.892089844,0.307128906,-0.299804688
9,1210848779,0.621544778,0.298450589,-0.693066299,0.210402235,10.75087833,2.54424715,-5.677662849,51.94523239,240.9648895,-56.2938118,-0.894042969,0.305175781,-0.331542969
10,1210857112,0.633432567,0.299323589,-0.680549324,0.214526728,11.471488,2.982059717,-5.683416367,33.64271164,234.2322083,-58.82329559,-0.857421875,0.292480469,-0.356445313
11,1210865445,0.645280063,0.299239844,-0.668489635,0.217235684,12.16020489,3.210822821,-5.507664204,10.84632587,227.1426086,-60.25933075,-0.860351563,0.293457031,-0.387695313
12,1210873778,0.657017827,0.298076123,-0.657002866,0.218691036,12.3941555,3.175281525,-5.707628727,-11.4947052,218.868927,-58.69294357,-0.823242188,0.280273438,-0.404785156
13,1210882111,0.668468416,0.295961589,-0.646147311,0.219204947,12.48446178,2.81547904,-6.025070667,-29.34057999,209.8175812,-55.23228073,-0.828613281,0.283691406,-0.429199219
14,1210890444,0.67973125,0.292887121,-0.635863781,0.218770087,12.32803726,2.419153214,-5.749121189,-47.53073883,201.7079773,-52.44046783,-0.792480469,0.27734375,-0.440429688
15,1210898777,0.690630853,0.288704664,-0.62639755,0.217498198,11.78258419,2.02435112,-5.192624569,-66.22803497,191.0690002,-46.28306198,-0.795898438,0.283203125,-0.457519531
16,1210907110,0.700573385,0.284235805,-0.617684305,0.216503128,10.90633202,1.613639235,-5.275846004,-64.99889374,177.4502106,-35.23637009,-0.761230469,0.279296875,-0.461425781
17,1210915443,0.709417105,0.279870242,-0.609718561,0.215971678,10.14858723,0.413182169,-4.703653336,-58.01276016,162.5950012,-25.55083466,-0.764648438,0.286621094,-0.477050781
18,1210923776,0.716997147,0.276283622,-0.602389276,0.216125697,9.572624207,-0.291859388,-4.625996113,-41.68418503,145.9770203,-19.09519196,-0.727539063,0.286132813,-0.478027344
19,1210932109,0.723198056,0.273583382,-0.595846474,0.217035115,8.935601234,-0.181206927,-4.505933285,-23.79223824,127.170105,-11.99955082,-0.734375,0.291992188,-0.493164063
20,1210940442,0.728037953,0.271543443,-0.590394497,0.218310595,8.442054749,0.105010554,-3.894350052,-12.35896301,104.4757614,-5.517000675,-0.706054688,0.28515625,-0.487792969
21,1210948775,0.731561899,0.269860476,-0.586328149,0.219572559,8.022764206,0.53895843,-3.637052059,-8.142887115,78.89720154,0.488171548,-0.717773438,0.29296875,-0.500488281
22,1210957108,0.733910918,0.268080741,-0.583920538,0.220328599,7.643537998,0.529616892,-3.621462107,-13.84842205,51.08839417,5.961100578,-0.689941406,0.289550781,-0.493652344
23,1210965441,0.735135138,0.266248107,-0.583145857,0.220521003,7.179716587,0.379583836,-4.010501385,-19.70394897,23.71904564,10.0456934,-0.70703125,0.297363281,-0.500488281
24,1210973774,0.735385716,0.264418632,-0.583836317,0.220059663,6.626202583,0.033245735,-4.633906841,-25.80285072,-1.329456687,11.80229282,-0.686523438,0.291992188,-0.494628906
25,1210982107,0.734720528,0.262862206,-0.585749149,0.219061062,6.33748579,-0.2682468,-5.170041084,-27.71494484,-23.79642296,11.32003403,-0.708496094,0.30078125,-0.501953125
26,1210990440,0.733279586,0.261582464,-0.588621676,0.217716828,6.541418552,-0.545497954,-5.599707603,-27.80193329,-41.81436157,11.47296047,-0.687011719,0.301269531,-0.491699219
27,1210998773,0.731149852,0.260614842,-0.592218995,0.216279447,6.917506695,-0.859734476,-6.210559368,-25.0887394,-55.97819901,12.60804653,-0.717773438,0.313964844,-0.498046875
28,1211007106,0.72834146,0.260197729,-0.596320391,0.214985088,7.399543762,-1.004189014,-6.751431942,-17.471138,-67.64432526,13.44949341,-0.700195313,0.308105469,-0.488769531
29,1211015439,0.724983811,0.260393441,-0.600706995,0.213881865,7.938891411,-0.93358916,-7.034254074,-8.628917694,-76.18696594,12.92138672,-0.729003906,0.316894531,-0.488769531
30,1211023772,0.721540749,0.260477096,-0.605313122,0.212431207,8.595703125,-0.679563046,-5.248551846,-12.97379017,-79.89167023,11.47011089,-0.716308594,0.316894531,-0.478027344
31,1211032105,0.719495595,0.257538408,-0.610440671,0.208237663,10.57761478,0.742464781,3.761311054,-72.30651093,-74.52931213,7.147246361,-0.75,0.326660156,-0.479980469
32,1211040438,0.718377769,0.252785027,-0.61567241,0.202438325,15.78510571,3.849023104,7.602570534,-107.3464203,-68.11219025,4.245017529,-0.738769531,0.333984375,-0.457519531
33,1211048771,0.714193344,0.253664017,-0.619645059,0.204017848,25.14891624,3.671830893,0.470731556,24.95544624,-71.82019043,33.57410049,-0.766601563,0.344238281,-0.459960938
34,1211057104,0.711029768,0.256794989,-0.620933175,0.207208976,26.20183372,-6.564031124,4.003942966,64.75910187,-37.32595062,18.02850723,-0.751464844,0.3359375,-0.451660156
35,1211065437,0.707490742,0.266737759,-0.618408144,0.214195758,17.25475502,-3.550760984,-0.824015796,175.9864044,-9.379628181,-15.46205139,-0.777832031,0.331542969,-0.466796875
36,1211073770,0.702345669,0.279617369,-0.614801288,0.224821597,8.65730381,0.09740036,-4.422622681,244.5766144,-7.685854912,-4.262331486,-0.76171875,0.305175781,-0.477050781
37,1211082103,0.696356654,0.291643918,-0.612165272,0.23512882,3.349889278,1.659067273,-1.482433558,233.9006195,-22.91586876,6.207874298,-0.787597656,0.287109375,-0.509277344
38,1211090436,0.690472186,0.301279604,-0.611214817,0.242684841,1.846703649,6.194303513,0.900925875,181.9550171,-41.32598877,6.385581017,-0.772460938,0.264648438,-0.520019531
39,1211098769,0.684445918,0.307403594,-0.613283992,0.246820152,4.249604702,9.714971542,-0.486736894,110.3810425,-73.79483032,16.43195534,-0.803710938,0.258300781,-0.537109375
40,1211107102,0.678498328,0.310425609,-0.617684245,0.248480663,8.676327705,7.144917011,-1.378573656,52.05014801,-94.85005951,28.87958717,-0.794433594,0.248535156,-0.525878906
41,1211115435,0.673637807,0.311510861,-0.622482657,0.248372659,10.98450184,1.850452065,-2.003807068,12.97370052,-90.41825104,26.82078934,-0.823242188,0.250488281,-0.521484375
42,1211123768,0.66923207,0.313058794,-0.626514912,0.248197854,11.18176651,-0.494143784,-3.349017859,17.33839989,-81.12973785,17.4532795,-0.813964844,0.248046875,-0.505859375
43,1211132101,0.664693952,0.315614074,-0.629688442,0.24912402,11.11199856,-1.1672858,-2.634365082,39.61421204,-73.23010254,15.61285782,-0.847167969,0.250488281,-0.506347656
44,1211140434,0.660042882,0.318597853,-0.632321358,0.251015455,11.23307419,-0.095298864,-1.875950217,54.21152115,-66.36183167,18.81020737,-0.835449219,0.245117188,-0.498535156
45,1211148767,0.655557632,0.320692271,-0.635095119,0.253091186,11.06811905,1.74653554,-1.607932806,46.54911423,-62.50315094,28.21845818,-0.870605469,0.245605469,-0.50390625
46,1211157100,0.651607871,0.321116835,-0.638449728,0.254309922,10.04508305,1.848855257,-1.277277589,19.60861969,-60.83119583,35.80080795,-0.856933594,0.241210938,-0.501464844
47,1211165433,0.648262739,0.320175648,-0.64228642,0.254384458,9.071444511,0.929688632,-0.883268178,-7.012825012,-60.31931305,37.52555084,-0.88671875,0.25,-0.500488281
48,1211173766,0.645202577,0.318756849,-0.646313787,0.253745198,8.898330688,0.513072193,-1.273846745,-19.51194191,-60.76416397,35.2583046,-0.874511719,0.25,-0.487304688
