PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,
0,1210782115,0.968194783,0.085632347,-0.234792575,-0.011809003,0,0,0,0,0,0,0.349853516,0.777832031,-0.689941406, 
1,1210790448,0.973067045,0.08271388,-0.215060875,-0.006985732,9.604263306,1.550971508,12.99225426,-32.45129776,282.7756958,51.0958252,0.437255859,0.769042969,-0.659179688, 
2,1210798781,0.977460086,0.079877682,-0.19541496,-0.002299299,9.289135933,3.604656458,13.45662022,-31.35204697,281.0923462,48.98197937,0.502441406,0.763671875,-0.643310547, 
3,1210807114,0.981443584,0.076905385,-0.175645456,0.001905939,9.200932503,5.258210182,13.02783966,-33.88883591,280.1178894,42.80029678,0.590820313,0.756103516,-0.600097656, 
4,1210815447,0.985007346,0.073775604,-0.155849531,0.005420264,9.430528641,5.963692188,12.14929008,-37.37871933,279.7344666,33.76866531,0.650146484,0.753662109,-0.557617188, 
5,1210823780,0.988122463,0.070815653,-0.136130869,0.008295657,9.217952728,6.123283863,11.87550735,-35.88637924,276.0999756,24.94823074,0.72265625,0.743408203,-0.497070313, 
6,1210832113,0.990745425,0.068160363,-0.116920069,0.010435998,9.53027153,6.77707386,11.22832966,-32.81290436,268.490387,14.85369492,0.766113281,0.743652344,-0.445556641, 
7,1210840446,0.992953777,0.065619744,-0.097960882,0.011894632,9.73921299,7.364742279,10.4848299,-31.93208694,262.8252869,5.752889156,0.815673828,0.729736328,-0.369873047, 
8,1210848779,0.994751036,0.063072734,-0.07958781,0.012608826,9.722740173,7.289794445,10.0578289,-32.80846405,254.5101929,-3.884983063,0.835205078,0.732177734,-0.304931641, 
9,1210857112,0.996155441,0.060606278,-0.061957281,0.012794727,9.718636513,6.828511715,10.2783165,-32.06528473,242.598999,-10.41035461,0.858398438,0.714355469,-0.228759766, 
10,1210865445,0.997176111,0.058546774,-0.045338813,0.01255787,9.898503304,6.623777866,10.8329916,-26.71634102,228.8330078,-15.71499634,0.860351563,0.715087891,-0.174316406, 
11,1210873778,0.997871697,0.056901094,-0.029547524,0.011940038,10.37707615,6.743211269,11.07092476,-21.20432854,216.1345825,-20.39785576,0.862548828,0.697265625,-0.110839844, 
12,1210882111,0.998292565,0.055439509,-0.014857757,0.010907473,10.17947674,6.796052456,10.48953724,-18.7674427,201.3223877,-25.33540154,0.84765625,0.697509766,-0.064453125, 
13,1210890444,0.998495758,0.054036368,-0.001588244,0.009230137,10.43931389,7.120689392,10.10104752,-18.23731995,180.5920868,-33.0165596,0.841796875,0.679199219,-0.01171875, 
14,1210898777,0.99853605,0.052676708,0.010387747,0.00667364,11.812047,7.923558235,9.011601448,-17.60964394,162.8546753,-44.17281342,0.818359375,0.68359375,0.021240234, 
15,1210907110,0.998465717,0.051003478,0.021352621,0.003171552,12.67612362,7.708763123,6.315088749,-21.93293571,147.7358093,-56.41241837,0.805908203,0.669677734,0.064208984, 
16,1210915443,0.998344421,0.048766043,0.030500302,-0.001110023,13.52622604,6.547006607,4.09287405,-29.35351372,122.8700104,-66.05198669,0.78515625,0.6796875,0.084716797, 
17,1210923776,0.998199761,0.045921952,0.038134713,-0.005955839,15.50522423,5.244499207,3.404424667,-37.60294342,101.234581,-73.01231384,0.770996094,0.670898438,0.122558594, 
18,1210932109,0.998044372,0.042534057,0.044484753,-0.010990627,16.50862312,3.860010147,1.920527697,-44.66029739,83.92741394,-75.1076355,0.753417969,0.684570313,0.1328125, 
19,1210940442,0.997907281,0.03893983,0.04916276,-0.015778679,17.20952225,2.637679577,-0.681250632,-47.64009094,60.73064041,-70.86261749,0.724609375,0.667480469,0.176025391, 
20,1210948775,0.997812986,0.035252091,0.052177053,-0.020131581,18.34718323,1.802477241,-1.863946319,-48.64118195,38.43359756,-64.05578613,0.702392578,0.678955078,0.186035156, 
21,1210957108,0.997747838,0.032094367,0.053890437,-0.023796903,19.16983795,0.970666945,-1.562213778,-41.77984619,20.84292221,-53.61736679,0.684570313,0.659423828,0.2109375, 
22,1210965441,0.997722507,0.029989291,0.054225303,-0.02667271,18.71000481,0.151734218,-0.784001768,-27.22343254,2.792303562,-41.36869049,0.673339844,0.670898438,0.210693359, 
