Coordinates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
version=1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nRows=3710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nColumns=34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inDegrees=yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Units are S.I. units (second, meters, Newtons, ...)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"If the header above contains a line with 'inDegrees', this indicates whether rotational values are in degrees (yes) or radians (no).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
endheader,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
time,pelvis_tilt,pelvis_list,pelvis_rotation,pelvis_tx,pelvis_ty,pelvis_tz,hip_flexion_r,hip_adduction_r,hip_rotation_r,knee_angle_r,ankle_angle_r,subtalar_angle_r,mtp_angle_r,hip_flexion_l,hip_adduction_l,hip_rotation_l,knee_angle_l,ankle_angle_l,subtalar_angle_l,mtp_angle_l,lumbar_extension,lumbar_bending,lumbar_rotation,arm_flex_r,arm_add_r,arm_rot_r,elbow_flex_r,pro_sup_r,arm_flex_l,arm_add_l,arm_rot_l,elbow_flex_l,pro_sup_l
0,0.07681991,-2.08468508,0.97663343,0.45569997,0.87030123,0.0208979,24.88375068,3.40467872,-4.44206219,63.47675607,-7.46128793,-25.06735166,0,-2.99599502,2.12324638,3.54290573,2.37895005,7.39845241,-3.46733352,0,-4.15034953,2.65613043,-5.05938653,4.11883285,-9.06089584,13.86064304,15.18443142,73.82989918,-0.86105665,-10.05407179,-7.56796164,30.2651699,78.48383841
0.0166667,-1.94554983,-0.61615948,2.3899976,0.45773373,0.86916188,0.02254872,28.5238641,3.15620864,-4.60013346,59.4804016,-1.85453435,-19.73200899,0,-2.08610846,4.30149424,2.30564759,1.99817955,6.5198077,0.15443203,0,-1.26062289,1.17839511,-6.45031316,1.99134561,-7.85130798,4.89247633,13.72617854,73.12950466,0.15435078,-10.48216269,-13.36304353,30.2861676,77.89936466
0.0333333,-2.11575504,-0.48397718,2.90952433,0.455151,0.87160193,0.02294632,30.49566988,3.43309077,-5.1424796,56.09386022,2.1049204,-17.90283902,0,-3.87409604,4.6806887,1.27086559,1.06553835,5.44842119,0.96568671,0,-0.58521071,0.61735651,-7.0141968,0.20258222,-8.19527621,4.16463588,12.77026065,73.27503764,1.54775841,-11.8342027,-12.42949791,31.65406373,78.09803316
0.05,-1.82304619,-0.72287618,3.23284306,0.45098351,0.87578366,0.02149259,31.0676518,3.78822348,-5.29888306,51.26296507,5.15790304,-16.84822714,0,-5.98786767,4.60528843,1.18412884,0,5.00544635,0.45714264,0,-0.77684854,0.83417202,-8.06348735,-1.00320104,-8.83282563,3.41824061,12.00555431,73.16858974,2.73147547,-13.07610337,-11.26915375,33.5564184,78.2701839
0.0666667,-1.70385127,-0.58230068,3.43590869,0.44582074,0.87699283,0.01960987,31.56890985,3.38593853,-5.06972515,45.95589985,6.3218156,-17.19324445,0,-7.01001306,4.74896028,1.43152699,0,5.80760252,-0.6000933,0,-1.29249892,0.60557546,-9.05701813,-2.03111211,-9.10635779,0.16644922,12.16901108,72.35761484,3.92632483,-14.71736924,-7.9031263,37.0094577,78.37072744
0.0833333,-1.65161868,-0.24496974,3.21671943,0.44040138,0.87437595,0.01826986,31.981663,2.7241911,-4.70694304,40.05406533,5.75042346,-18.54578795,0,-7.86270822,5.12219066,2.09716526,0,6.65304651,-1.52240766,0,-1.83253084,0.24770661,-9.37104792,-2.49731969,-9.57668931,-0.83510042,11.80044128,72.07590841,5.87342937,-15.57567777,-7.62547369,39.5948435,78.29764899
0.1,-1.7393791,0.3003689,2.98467468,0.43479631,0.86914328,0.0182655,32.44145324,1.91540594,-4.67153477,33.68807124,5.15495873,-19.42219635,0,-8.69297631,5.74787137,3.32866754,0,7.54248031,-2.27356719,0,-2.31383525,-0.32936101,-9.96777983,-2.54364273,-9.88763195,-2.30987346,11.67004538,71.59554826,7.27444077,-16.75402433,-7.17107317,42.71248747,78.29125329
0.1166667,-1.89547521,0.91676886,2.95876045,0.42930305,0.86335802,0.01955366,32.6497356,1.16994916,-5.1322375,26.69206607,5.52372217,-18.47441079,0,-9.56230043,6.40495696,4.88279639,0,8.56479255,-2.81501215,0,-2.70167174,-1.01938894,-10.59353251,-2.45699776,-10.02415535,-3.72204588,11.51241816,71.14092516,8.67903018,-17.80929558,-6.76659967,45.2317812,78.31120692
0.1333333,-2.05242629,1.4782047,3.27966774,0.42498103,0.85969318,0.02063613,32.42376082,0.57021405,-5.82705719,19.3804881,6.69487788,-15.61728403,0,-10.49568131,6.89970783,6.71882575,0,10.07209487,-3.28059668,0,-2.99338263,-1.73671288,-11.4156616,-2.44871031,-10.03307107,-5.00529755,11.42626563,70.74779956,9.91849334,-18.77155011,-6.06154843,47.18114453,78.39930446
0.15,-2.12671174,1.91314477,3.88555763,0.42268036,0.85845312,0.0207875,31.73539682,0.08764695,-6.58644942,12.53658017,8.0791098,-11.24083532,0,-11.57386142,7.13621484,8.58625441,0,11.89448178,-3.6927169,0,-3.27678544,-2.30278365,-12.36843481,-2.38447822,-10.01672838,-6.35583579,11.62787838,70.36175103,10.91264861,-19.54835288,-4.89110369,48.73251134,78.55691469
0.1666667,-2.34147527,2.21290833,4.47223129,0.42161384,0.85753073,0.02152468,31.18446079,-0.24960072,-7.17008616,7.24458205,9.04633642,-6.69822709,0,-12.54705183,7.15817698,10.09081997,0,13.82233837,-4.11610976,0,-3.33055343,-2.80406216,-12.53643657,-2.91151398,-9.80164067,-11.5040912,13.71764002,69.29786513,12.26580795,-20.07763324,-2.36292346,49.68728773,78.7524294
0.1833333,-2.25928305,2.18228541,5.05140206,0.42025518,0.85655422,0.02290387,30.3029075,-0.27367226,-7.35376643,3.80198389,9.60590492,-3.47736511,0,-13.86241746,6.74217502,11.34020801,0,15.59337702,-4.22091504,0,-3.71603076,-2.77917681,-13.14237942,-2.30239828,-10.06754769,-13.69335624,15.80328617,69.31916953,13.08294832,-20.38222049,-0.8866804,50.67654628,78.91674692
0.2,-2.30307269,1.84844407,5.3804902,0.41875685,0.85385995,0.02444348,29.6752267,0.09780587,-6.77230997,2.29980251,9.29096898,-2.55487334,0,-15.03256717,6.01933269,11.93315674,0,17.01482193,-4.38968953,0,-3.77327739,-2.40962205,-13.87482246,-0.63681045,-10.68085828,-14.33942584,17.43948918,69.2705451,13.59316724,-20.60757943,-0.251014,50.91551835,79.0211534
0.2166667,-2.14087244,1.24756665,5.53115675,0.4175703,0.85000157,0.02532418,29.0324334,0.78825018,-6.26291229,2.6486492,8.96635826,-2.19210214,0,-16.40137854,5.03149516,11.80575778,0,17.62978321,-3.90435555,0,-4.51651863,-1.43906196,-13.80324829,0.16723211,-11.01531161,-17.73426902,21.92971606,68.9478461,14.30812876,-20.80165214,1.2293309,52.41858469,79.29718733
0.2333333,-2.17699081,0.3991382,5.54750437,0.41826605,0.8458325,0.02629691,28.37298185,1.87116308,-5.08238778,3.54730715,8.17008869,-3.16140223,0,-17.58466516,3.82510356,11.64904323,0,17.74454947,-3.69220077,0,-4.41596807,-0.1668593,-14.09413166,1.60012601,-11.63598093,-19.23220071,23.93438148,68.89788421,14.49394393,-20.64822298,1.54052418,52.01249429,79.35441776
0.25,-2.32460786,-0.40128333,5.14624127,0.42043063,0.84272317,0.02844678,28.04363728,3.1397846,-3.82838547,5.26068183,7.00913278,-5.09400643,0,-18.71220397,2.79502527,10.68685284,0,17.50326954,-2.93851672,0,-4.43419361,1.09608148,-12.98818387,1.42086054,-11.84340338,-23.43526614,27.88479018,69.04431888,14.66942717,-19.94955923,1.6584923,52.615247,79.40934832
0.2666667,-2.1616534,-1.15113612,4.85251997,0.42309406,0.84265584,0.03093577,27.09607908,4.36444474,-3.42632691,6.67252884,5.86346394,-5.70967869,0,-19.98860653,1.75226968,9.65222446,0.36834049,16.21364018,-2.8249692,0,-4.48408896,2.27736081,-12.77606925,2.27971277,-12.22176692,-23.81097515,28.62293752,69.16851515,14.23850849,-19.57141399,1.7061709,52.1006413,79.39779689
0.2833333,-1.95772393,-1.59722463,4.75932303,0.42519702,0.84432688,0.03349278,25.96540798,5.22859469,-2.71178137,7.77640833,3.82217295,-7.65145831,0,-20.29636148,1.05687903,8.53794323,2.74341471,15.56420156,-2.18687944,0,-4.75643756,3.14707418,-12.47054515,2.72113122,-12.41262126,-24.31523451,29.82982174,69.43507084,13.88330435,-18.80423829,1.13686941,51.33003615,79.26719366
0.3,-1.86382373,-1.91193701,4.63470355,0.42820372,0.84590074,0.0368729,24.80848268,6.00461333,-2.22565426,8.63958055,2.22943923,-8.97331766,0,-20.00003583,0.43723027,6.97093167,6.02615296,14.2045849,-1.51941933,0,-4.74734964,3.69884443,-11.94944737,2.75790799,-12.31749584,-24.74638379,30.5308249,69.78298844,13.13004425,-17.88188171,0.4442069,50.47699101,79.10051975
0.3166667,-1.6238701,-2.19674612,4.49570691,0.43253035,0.84723516,0.03959405,23.37924269,6.70083528,-2.30701612,9.29843343,0.90217818,-9.09275997,0,-19.19101905,-0.2176564,5.05594651,10.48538408,12.06111296,-1.21240004,0,-4.8399216,4.19689135,-11.41893377,2.88283688,-12.22423425,-24.80051601,30.64204618,69.92540431,11.96846787,-16.94420856,0.35535882,49.76323477,79.04404477
0.3333333,-1.47517755,-2.49558468,4.34626732,0.43837043,0.84772647,0.04070716,21.84000371,7.39798156,-2.00154063,9.63432501,-0.2934722,-9.79236858,0,-17.42138831,-1.06299437,2.4660004,16.45319609,9.7808986,0.02401599,0,-4.54717603,4.71217225,-10.84152169,2.77769649,-12.08712084,-24.72496915,30.54323791,70.29461982,10.70411307,-15.50504651,-0.39858545,47.97039701,78.87021954
0.35,-1.38244544,-2.9528756,4.12900205,0.44413279,0.84896313,0.0408664,20.2340556,8.17308658,-2.17808373,9.78072237,-0.79797676,-9.60895298,0,-15.07944597,-2.2101645,-0.0614713,23.21347803,6.97283972,0.61373028,0,-4.19904853,5.40129906,-10.21651747,2.52241422,-11.93340604,-24.45696496,30.13049198,70.56616751,9.08585826,-14.15131355,-0.56539251,46.34948978,78.80561776
0.3666667,-1.45810799,-3.4151984,3.89170581,0.44872561,0.85283984,0.04206447,18.77261415,8.89215708,-2.3636859,9.87693731,-0.34902678,-9.23597878,0,-12.29766423,-3.46116197,-2.17527255,30.11204596,4.174122,0.65663952,0,-3.45139382,6.05634089,-9.73040462,1.95324977,-11.72247801,-23.72318157,29.14214041,70.99666953,7.50216269,-12.68559841,-0.73148142,43.60229322,78.75650695
0.3833333,-1.49517256,-3.88095706,3.66058675,0.45329375,0.85819169,0.0445573,16.91384135,9.63849552,-2.52581477,9.29658952,0.3679197,-8.51959616,0,-9.70958763,-4.64213458,-3.50710916,36.19120409,1.51905759,-0.29063632,0,-2.63899453,6.62817414,-9.41564241,0.80875746,-11.27602855,-22.92828696,27.92393628,71.34012159,5.73398589,-11.51513601,-0.63708146,40.94911951,78.76479595
0.4,-1.45819471,-4.20841423,3.31454251,0.45801907,0.86234215,0.04693441,14.77171394,10.28341295,-2.62633115,8.36496112,1.48148453,-7.80547749,0,-7.53119593,-5.4794641,-4.38161326,41.1094837,-0.67505853,-2.00800221,0,-1.95242977,7.00321615,-9.03345916,-0.51199003,-10.57143982,-21.99223561,26.43250108,71.67758883,4.01621104,-10.46777704,-0.4642087,38.17261128,78.79800748
0.4166667,-1.44924252,-4.25140192,2.91394684,0.46175473,0.86217065,0.04879277,12.63437196,10.65994845,-2.55589613,7.37132538,2.98349188,-6.90662968,0,-5.33424404,-5.76964282,-4.59020456,45.45321362,-2.34428387,-4.2593737,0,-1.17946769,6.9730477,-8.58356138,-1.55493368,-9.878011,-20.53143294,24.68089132,72.18057551,2.65509076,-9.47873845,-0.07342778,34.87758024,78.9005434
0.4333333,-1.3775472,-4.19374227,2.39993108,0.46438325,0.85954842,0.05042473,10.43378007,10.90669987,-2.25883264,6.4317338,4.54398997,-6.11215207,0,-3.06012636,-5.84373332,-4.71392159,49.73720288,-2.9779082,-6.90967316,0,-0.4369733,6.84523344,-7.89835454,-2.08705403,-9.27865052,-18.61717049,22.89072662,72.80498404,1.41595857,-8.55104039,0.69167012,31.77424877,79.07976455
0.45,-1.41661323,-4.08077604,1.80157495,0.46582796,0.85592003,0.05183332,8.52785942,11.01122462,-1.83726214,5.8016488,6.11722623,-5.31264422,0,-0.34786594,-5.73261109,-4.65819647,54.20153046,-2.20661006,-9.71633982,0,0.29223305,6.74101761,-6.90414547,-2.09031139,-8.71885243,-16.76287833,21.366223,73.35405972,0.11394534,-7.75390759,1.61163867,29.14751841,79.2425126
0.4666667,-1.4541926,-3.89713987,1.21974117,0.4660304,0.85427369,0.05245055,6.73512568,10.93492804,-1.31753638,5.37432403,7.82268868,-4.43445758,0,2.62934273,-5.5154904,-4.67978237,58.33642162,0.19068019,-11.77785589,0,1.00859037,6.55244366,-5.70633004,-1.73934448,-8.29319599,-14.6749171,20.00653137,73.89937611,-0.99341182,-7.08301909,2.75691215,26.5849438,79.36879973
0.4833333,-1.44327455,-3.67772167,0.65691932,0.46381738,0.85435506,0.05298565,4.99315023,10.75811097,-0.64322145,4.99720642,9.47456375,-3.91523011,0,5.99070256,-5.25301705,-4.67226546,61.8735151,2.8361725,-13.53491382,0,1.28591766,6.3526488,-4.26993598,-1.0995298,-7.90055304,-13.19086576,19.42015297,74.22988108,-1.94834765,-6.66896775,3.52146735,25.00946196,79.3748512
0.5,-1.66327474,-3.24331126,0.10248971,0.4590401,0.8560545,0.05421388,3.42858874,10.27842941,-0.05161911,4.24211596,10.88527686,-3.36313577,0,10.19446581,-4.75044918,-4.42129891,64.3936102,4.83888622,-14.66393439,0,1.68352005,5.90249954,-2.68125399,-0.18847294,-7.65294182,-11.62269444,19.26999331,74.55489017,-2.6379891,-6.43725288,4.16675487,23.58616895,79.29092764
0.5166667,-2.00407569,-2.72020559,-0.39324298,0.45298151,0.85879151,0.05597952,2.01745876,9.67424757,0.56077649,3.24558642,11.94033148,-3.0399619,0,14.94029503,-4.25177907,-3.94787705,65.90897932,5.78228417,-15.16550789,0,1.94437881,5.27818348,-1.02452732,0.97427425,-7.55512808,-9.94564476,19.77179206,74.88805563,-3.092696,-6.39118695,4.63846988,22.34266086,79.09609813
0.5333333,-2.02423993,-2.15131751,-0.77775206,0.44790253,0.862217,0.05748651,0.2571165,8.97945573,1.15476784,2.02167623,12.48914965,-2.75439595,0,19.10569494,-3.72513038,-3.3870658,66.0002973,5.96631765,-15.14026659,0,1.44763313,4.55120779,0.5510924,2.74767437,-7.35271216,-9.6601461,20.4396219,74.95205477,-3.63118046,-6.51183256,4.66361745,21.98540574,79.05119919
0.55,-2.95522991,-1.78275087,-1.06597107,0.44572524,0.86290653,0.05833647,-0.24811394,8.45697604,1.50228297,1.22191395,12.91257666,-2.41099325,0,23.73679049,-3.40551045,-2.85090221,64.91313738,6.31680391,-14.41613726,0,2.37610817,4.0655458,2.37543927,3.44206193,-7.69548493,-7.78320772,22.49310605,75.40501155,-4.29376324,-6.40969713,4.78705323,20.58545174,78.66298465
0.5666667,-3.28210637,-1.46835044,-1.24886903,0.44364508,0.86616569,0.05897287,-1.36023681,7.96304123,1.82776518,0.56034655,12.97275651,-2.07793811,0,26.78413859,-2.98364853,-2.44786051,62.16518302,6.60551635,-13.50356355,0,2.39106999,3.62007996,3.95235885,4.56367827,-8.06584213,-6.27938179,24.45951853,75.77836709,-4.91212735,-6.32891936,4.72655529,19.35058229,78.14785703
0.5833333,-3.58042691,-1.25916572,-1.45372946,0.4396078,0.87181103,0.06055231,-2.31790177,7.62906675,2.13551386,0.31158493,12.95285245,-1.73214383,0,29.08625921,-2.59509564,-2.16220569,58.18320798,6.7476366,-12.86825144,0,2.34803679,3.25305668,5.28319925,6.09082701,-8.16581352,-5.94966341,25.51284063,75.87521683,-5.81356674,-6.44373251,4.62550561,18.78087131,77.98861134
0.6,-3.54750785,-1.13501408,-1.66750687,0.43298844,0.87749195,0.06317783,-3.37344062,7.45060501,2.22256853,0.45672537,13.41775522,-1.35505772,0,30.58096851,-2.28291283,-2.00631608,53.41295408,7.30948958,-11.51286258,0,1.64868032,2.95742587,6.97728155,7.02396899,-8.81406754,-4.3796381,28.39268112,76.36090073,-5.87152891,-6.45581314,3.7506707,17.69914106,77.18586022
0.6166667,-3.52005053,-0.96257999,-1.93368817,0.42629652,0.87991206,0.06588689,-4.34738226,7.27553808,2.4140878,0.54577614,13.75358316,-1.32360468,0,31.68147817,-1.85530103,-1.76273191,48.05002542,7.04918964,-11.08231996,0,0.90612434,2.53114072,8.3699821,8.51048124,-9.21625047,-3.34702464,30.1620405,76.73499155,-6.05335076,-6.70362061,2.84334239,17.23643427,76.46568111
0.6333333,-3.7223899,-0.84119684,-2.21017654,0.42115334,0.87903061,0.06767532,-5.14105529,7.1959598,2.60974425,0.38441853,13.86367098,-1.38247573,0,32.69257114,-1.587284,-1.58957963,42.17440355,6.39281749,-10.70153078,0,0.61874762,2.19350608,9.44821567,10.03955439,-9.30478546,-2.852575,31.33500127,76.91612365,-6.29143553,-7.09397764,2.35366618,16.94397053,76.16256104
0.65,-3.23098441,-0.86115859,-2.48227826,0.41630143,0.8777912,0.06803031,-6.80065082,7.20502442,3.3898197,0,14.20023142,-1.45711275,0,32.39825247,-1.29005879,-0.94392331,35.35528603,4.75143121,-11.49702021,0,-0.96558586,1.98348389,10.81496737,11.31166141,-10.17486005,-1.1469075,33.73737252,77.52881719,-5.91915502,-7.11092449,0.60629782,16.79356581,75.1679076
0.6666667,-3.47156161,-1.1151552,-2.77520678,0.41180831,0.87509588,0.06802237,-7.60454914,7.5182538,3.9117184,0,15.0767003,-0.7474678,0,32.54674086,-1.40392678,-0.46752744,27.99902024,2.90591285,-11.42065809,0,-1.47640732,2.12098045,11.35538747,12.65651695,-10.86560447,1.5413774,36.0637246,78.6383605,-6.45204213,-6.86266803,-3.13432596,17.02251551,73.09355355
0.6833333,-3.76728658,-1.53918525,-3.18851683,0.40668356,0.87276202,0.06829814,-8.44735412,8.03186519,4.73862053,0,16.46260536,-0.48350325,0,32.47220981,-1.84516953,-0.44486521,20.45417984,1.22016544,-10.44584913,0,-1.45702183,2.51734229,12.32163668,13.92002982,-11.01880358,1.90031702,36.93010956,78.77650677,-7.13359664,-6.82797975,-3.56993593,16.87738026,72.8763278
0.7,-3.49548991,-2.10771536,-3.50451538,0.40135872,0.87056278,0.06828019,-9.92712708,8.6167784,5.01028208,0,18.25393333,0.75918876,0,31.76300206,-2.32959515,-0.39740684,13.49272751,0.13084205,-8.971004,0,-2.51110032,2.99230957,12.94006818,15.12209491,-12.03495187,4.80066455,39.75785359,79.66702316,-8.16961726,-6.06267968,-7.2070921,16.83380341,71.22681322
0.7166667,-3.34137552,-2.60035045,-3.74986973,0.39884254,0.8663407,0.06780731,-11.28255884,9.0983389,5.54738719,0,19.78194963,1.03136995,0,31.21087609,-2.73823185,-0.55797581,7.72677123,-0.41444501,-6.63851867,0,-3.02515314,3.40920868,13.31637546,16.54005887,-12.11290314,5.4665665,40.93956726,79.83867636,-9.78273327,-5.48989093,-8.34413021,15.65015507,70.73404841
0.7333333,-3.39017713,-2.9950002,-3.78457702,0.39933031,0.86020578,0.06643166,-12.44864506,9.45550486,5.61698397,0,21.18503363,1.52954401,0,31.00344719,-2.90263451,-0.63648298,3.59623006,-0.38191132,-3.90970958,0,-3.02333094,3.68861768,13.6044144,17.49886943,-12.61768453,7.13630338,42.23909778,80.03509602,-11.50411993,-4.64020152,-11.08518967,13.57531713,69.53815853
0.75,-3.42030691,-2.99130866,-3.60133375,0.40033806,0.8543108,0.06545397,-13.67197007,9.41086726,5.54838596,0,21.94400235,1.61862699,0,30.68866706,-2.53404887,-0.09324782,0.91566153,-0.28910274,-2.22626621,0,-3.01576635,3.44894734,13.22846811,18.37096088,-12.28186077,7.36381343,43.27056931,79.94825497,-13.47975701,-4.10068239,-11.87268206,11.46922396,69.17830014
0.7666667,-3.5282955,-2.65784724,-3.18543523,0.40047118,0.84954656,0.06473159,-14.81435048,9.07477961,5.00631439,0,22.51822424,1.91952216,0,30.55388426,-1.74452463,0.55611172,0,-0.01289359,-0.99511615,0,-2.74559185,2.69071135,13.23281056,18.57893771,-12.21049168,7.81556778,43.73698453,79.62076042,-14.42563161,-4.04634233,-13.14494213,8.46868176,68.51704348
0.7833333,-3.66946374,-1.96498785,-2.69108174,0.40121256,0.84615986,0.06320769,-15.93894601,8.34782278,4.38613537,0,22.72673176,1.83565017,0,30.18663847,-0.5567592,1.32846584,0,-0.32364112,-1.1425572,0,-2.43753383,1.47288701,12.8473046,18.59080505,-11.69237364,7.75265973,43.9801085,79.28953708,-15.24087579,-4.23069523,-13.50772412,6.49695504,68.24630289
0.8,-3.64951697,-0.98666301,-2.16102994,0.4034008,0.84499458,0.06056064,-17.26632355,7.27060231,3.46635485,0,22.59899873,1.887297,0,29.28548782,0.94016864,2.19670595,0.44351094,-1.21348725,-2.22405069,0,-2.28657353,-0.15173952,12.84267236,18.3375581,-11.21215785,7.34522047,43.45444624,78.70420766,-15.02322191,-4.85290824,-13.54688026,4.27590337,68.01145665
0.8166667,-3.81506353,-0.01362239,-1.56707888,0.40616291,0.84376296,0.05709886,-18.1571212,6.16128602,2.32573709,0.5448306,22.15616966,1.87605685,0,28.74611956,2.51091926,3.07975102,1.9075562,-2.23306452,-3.94642813,0,-1.84221133,-1.6596798,12.65397933,17.89037758,-10.60267779,6.54975159,42.64876781,77.93822142,-14.49882384,-5.5290569,-12.98420661,2.38561181,67.94627362
0.8333333,-3.9058303,0.97784686,-1.01232323,0.40856048,0.84196748,0.05404887,-18.85197365,4.94854401,1.12466877,1.69411352,21.4510672,1.82655423,0,28.09051363,4.09805396,3.7256901,3.62683254,-3.57791088,-5.88551024,0,-1.55345867,-3.19323274,12.47975493,17.33679809,-10.03348707,5.58796719,41.66779893,77.16273028,-13.68921901,-6.2320458,-12.00038629,1.14109082,68.04096423
0.85,-3.91052707,1.89798368,-0.46245712,0.41063783,0.83961974,0.05154802,-19.43970475,3.76681796,-0.08793517,3.23232235,20.2666154,1.69199654,0,27.29569677,5.60082933,4.34333826,5.3272428,-5.02457025,-7.9386146,0,-1.34782677,-4.61359942,12.15123241,16.67269156,-9.36638558,4.44820291,40.60286094,76.31603392,-12.65744472,-6.91717841,-10.57622807,0.20453176,68.28098953
0.8666667,-3.989176,2.73490854,0.10165148,0.41268308,0.8380456,0.04942614,-19.58053782,2.68075383,-1.24531533,5.36961138,18.69723679,1.37724152,0,26.5627948,6.92889147,4.34754707,6.93329358,-5.59732903,-8.4392229,0,-1.17989186,-5.9052659,11.60193931,15.79568343,-8.90450668,4.3838314,40.09458074,76.18866658,-11.67200758,-7.55022226,-10.28777792,0.37110574,68.341934
0.8833333,-3.6638802,3.40700473,0.69818808,0.41451581,0.84011747,0.04741858,-19.75489183,1.799454,-2.48256269,8.06627102,16.28964939,0.87574824,0,25.12841505,8.10777862,5.66123069,8.03139214,-7.43383948,-11.04535246,0,-1.42169682,-6.99416701,10.93708525,15.01383017,-7.80784397,2.51052733,38.02112783,75.04344777,-10.145523,-8.13986441,-7.41116547,0,69.13325816
0.9,-3.20638817,3.80950294,1.33954713,0.41605218,0.8465226,0.04572725,-19.16509164,1.17244803,-4.21536371,12.03739812,12.94118135,0.47539658,0,23.34146617,8.872044,6.12204124,8.71993189,-7.69468662,-11.34121496,0,-1.92270047,-7.74925377,10.19247436,13.83470406,-7.3485777,2.37762007,37.00068548,74.86852309,-8.41177223,-8.61717886,-6.80696013,0.43557611,69.31470643
0.9166667,-2.06902542,4.00812674,1.73849249,0.41727016,0.85383924,0.0444068,-18.13683979,0.6630706,-5.32505585,17.67999255,8.80327496,-1.05052678,0,20.37571256,9.2503148,7.06576384,8.54594271,-7.9831588,-12.31107371,0,-3.54809926,-8.15446787,9.06638057,13.53420317,-6.35654266,1.22255099,34.70507434,74.22229544,-6.40669317,-8.92106431,-4.07270302,0.99896741,70.23335061
0.9333333,-1.07460506,4.02038862,2.25934717,0.41923581,0.85852021,0.04146621,-15.9911687,0.11942508,-6.81005817,24.74249664,4.10561959,-2.65791014,0,17.40616973,9.4311632,7.85616826,8.0426595,-7.28973603,-12.10818175,0,-4.89047531,-8.20846003,7.85724889,12.70571892,-5.79887645,0.43198277,33.10081448,73.67323794,-4.776817,-9.30916512,-0.267027,2.42480668,71.4105715
0.95,0.0510377,3.8919946,2.57276165,0.42164346,0.8599865,0.03727559,-13.06444103,-0.49149416,-7.56235541,33.00163085,-0.36340442,-4.76880378,0,14.16237945,9.40867917,8.52860164,7.11383821,-6.27822528,-12.14055216,0,-6.57170772,-8.01042658,6.92895075,11.74261967,-5.66280702,0.34085759,31.97766618,73.62709195,-2.68015033,-9.4277275,0.29125309,3.90528174,71.51669979
0.9666667,0.9799419,3.75711795,2.80630966,0.42499156,0.86046827,0.03271579,-9.4145334,-1.18829348,-7.76004339,41.76850879,-4.2117533,-7.46869667,0,11.11369917,9.41848603,9.12367142,6.11380953,-4.88702139,-12.02621836,0,-7.82534145,-7.56693614,5.60113614,10.94963755,-5.46131598,0.06525375,30.82602208,73.60661207,-1.3115285,-9.50000956,0.96059425,5.96646964,71.60823912
0.9833333,1.58788252,3.6579545,3.05930311,0.42853708,0.86084718,0.02960169,-5.45270543,-1.87326077,-7.79261861,50.08218244,-6.84657423,-9.85875617,0,8.32747333,9.48663914,9.66938297,5.00330507,-3.24509196,-11.8918821,0,-8.50202151,-7.11993986,4.32547419,9.96670192,-5.30287636,-0.24233462,29.57712401,73.64328177,-0.29217935,-9.61931351,1.56753116,8.46518124,71.62406201
1,1.86215922,3.55025718,3.36783646,0.43107225,0.86120112,0.02857508,-1.55121455,-2.33110178,-7.81172235,57.11189982,-8.23971412,-11.77471111,0,5.82173572,9.49677312,10.28145873,3.85955731,-1.52876461,-11.69083812,0,-8.63119596,-6.73960841,3.00631593,8.82202024,-5.10935015,-0.57602953,28.10814805,73.7345683,0.51323794,-9.87331476,2.1039851,11.18661513,71.56624034
